Player,salary,inf_adj_salary,year
Landry Fields,5225000.0,6630400.0,2014
Zaza Pachulia,5200000.0,6598675.0,2014
JJ Hickson,5150000.0,6535227.0,2014
Martell Webster,5150000.0,6535227.0,2014
Robin Lopez,5119761.0,6496854.0,2014
Keith Bogans,5058198.0,6418732.0,2014
Brandan Wright,5000000.0,6344880.0,2014
Tony Allen,5000000.0,6344880.0,2014
Ramon Sessions,5000000.0,6344880.0,2014
Chase Budinger,5000000.0,6344880.0,2014
Andre Miller,5000000.0,6344880.0,2014
DeMarcus Cousins,4916973.0,6239521.0,2014
Michael Kidd-Gilchrist,4809840.0,6103572.0,2014
Victor Oladipo,4763760.0,6045097.0,2014
Enes Kanter,4753320.0,6031849.0,2014
Boris Diaw,4702500.0,5967360.0,2014
Jose Juan Barea,4687000.0,5947691.0,2014
Linas Kleiza,4600000.0,5837290.0,2014
Luc Mbah a Moute,4588384.0,5822549.0,2014
Jonas Jerebko,4500000.0,5710392.0,2014
Luis Scola,4500000.0,5710392.0,2014
Corey Brewer,4500000.0,5710392.0,2014
Ekpe Udoh,4469547.0,5671748.0,2014
Timofey Mozgov,4400000.0,5583494.0,2014
Earl Clark,4361518.0,5534661.0,2014
Udonis Haslem,4340000.0,5507356.0,2014
Luke Ridnour,4320000.0,5481976.0,2014
Bradley Beal,4319280.0,5481063.0,2014
Tristan Thompson,4285560.0,5438273.0,2014
Otto Porter,4278000.0,5428679.0,2014
Jared Dudley,4250000.0,5393148.0,2014
Quentin Richardson,4208107.0,5339986.0,2014
Raymond Felton,4180000.0,5304320.0,2014
Greg Monroe,4086453.0,5185611.0,2014
Kirk Hinrich,4059000.0,5150774.0,2014
Ricky Rubio,4002120.0,5078594.0,2014
Elton Brand,4000000.0,5075904.0,2014
Steve Blake,4000000.0,5075904.0,2014
Ian Mahinmi,4000000.0,5075904.0,2014
Mario Chalmers,4000000.0,5075904.0,2014
Brandon Rush,4000000.0,5075904.0,2014
Matt Bonner,3945000.0,5006110.0,2014
Thabo Sefolosha,3900000.0,4949006.0,2014
Dion Waiters,3894240.0,4941697.0,2014
Cody Zeller,3857040.0,4894491.0,2014
Joel Anthony,3800000.0,4822109.0,2014
Danny Green,3762500.0,4774522.0,2014
Steve Novak,3750001.0,4758661.0,2014
Samuel Dalembert,3700748.0,4696160.0,2014
Al-Farouq Aminu,3700000.0,4695211.0,2014
Thomas Robinson,3526440.0,4474968.0,2014
Jonas Valanciunas,3526440.0,4474968.0,2014
Jan Vesely,3524880.0,4472988.0,2014
Marreese Speights,3500000.0,4441416.0,2014
Jordan Hill,3500000.0,4441416.0,2014
Gerald Green,3500000.0,4441416.0,2014
Alex Len,3492720.0,4432178.0,2014
Gordon Hayward,3452183.0,4380737.0,2014
Marcus Camby,3383773.0,4293927.0,2014
Paul George,3282003.0,4164783.0,2014
Shane Battier,3270000.0,4149551.0,2014
Gary Neal,3250000.0,4124172.0,2014
Alonzo Gee,3250000.0,4124172.0,2014
Matt Barnes,3250000.0,4124172.0,2014
Carlos Delfino,3250000.0,4124172.0,2014
Klay Thompson,3245151.0,4118019.0,2014
Darrell Arthur,3231683.0,4100928.0,2014
Mirza Teletovic,3229050.0,4097587.0,2014
Ray Allen,3229050.0,4097587.0,2014
Bismack Biyombo,3217680.0,4083159.0,2014
Damian Lillard,3202920.0,4064428.0,2014
Andrei Kirilenko,3183000.0,4039150.0,2014
Chris Kaman,3183000.0,4039150.0,2014
Tyler Hansbrough,3183000.0,4039150.0,2014
Vince Carter,3180000.0,4035344.0,2014
Nerlens Noel,3172320.0,4025598.0,2014
Ed Davis,3153860.0,4002173.0,2014
Jerryd Bayless,3135000.0,3978240.0,2014
Lavoy Allen,3120000.0,3959205.0,2014
Patrick Patterson,3105301.0,3940552.0,2014
Alexey Shved,3066667.0,3891527.0,2014
Larry Sanders,3053368.0,3874651.0,2014
Mike Dunleavy,3000000.0,3806928.0,2014
Randy Foye,3000000.0,3806928.0,2014
Chris Copeland,3000000.0,3806928.0,2014
Kosta Koufos,3000000.0,3806928.0,2014
Kwame Brown,3000000.0,3806928.0,2014
Joel Freeland,3000000.0,3806928.0,2014
Dorell Wright,3000000.0,3806928.0,2014
Brandon Knight,2947800.0,3740687.0,2014
Harrison Barnes,2923920.0,3710384.0,2014
Ben McLemore,2895960.0,3674904.0,2014
Jimmer Fredette,2813399.0,3570135.0,2014
Will Bynum,2790343.0,3540878.0,2014
Kevin Seraphin,2761113.0,3503786.0,2014
Marco Belinelli,2750000.0,3489684.0,2014
Kemba Walker,2709720.0,3438569.0,2014
Terrence Ross,2678640.0,3399130.0,2014
Greg Stiemsma,2676000.0,3395780.0,2014
Kentavious Caldwell-Pope,2653080.0,3366695.0,2014
Josh McRoberts,2652000.0,3365324.0,2014
Maurice Williams,2652000.0,3365324.0,2014
Eric Bledsoe,2626473.0,3332931.0,2014
Aaron Gray,2612500.0,3315200.0,2014
Nick Collison,2585668.0,3281150.0,2014
Avery Bradley,2511432.0,3186947.0,2014
DeMarre Carroll,2500000.0,3172440.0,2014
Wayne Ellington,2500000.0,3172440.0,2014
Chauncey Billups,2500000.0,3172440.0,2014
Jason Smith,2500000.0,3172440.0,2014
Jason Maxiell,2500000.0,3172440.0,2014
Andre Drummond,2462400.0,3124726.0,2014
Trey Burke,2438760.0,3094728.0,2014
Trevor Booker,2350820.0,2983134.0,2014
Austin Rivers,2339040.0,2968185.0,2014
Alec Burks,2323200.0,2948085.0,2014
CJ McCollum,2316720.0,2939862.0,2014
Quincy Pondexter,2225478.0,2824078.0,2014
CJ Miles,2225000.0,2823471.0,2014
Meyers Leonard,2222160.0,2819867.0,2014
Markieff Morris,2207040.0,2800681.0,2014
Michael Carter-Williams,2200920.0,2792914.0,2014
Dante Cunningham,2180000.0,2766367.0,2014
Jordan Crawford,2162418.0,2744056.0,2014
Greivis Vasquez,2150188.0,2728537.0,2014
Jeremy Lamb,2111160.0,2679011.0,2014
Marcus Morris,2096760.0,2660738.0,2014
Steven Adams,2090880.0,2653276.0,2014
Nate Robinson,2016000.0,2558255.0,2014
CJ Watson,2016000.0,2558255.0,2014
Eric Maynor,2016000.0,2558255.0,2014
Vitor Faverani,2000000.0,2537952.0,2014
Jermaine O'Neal,2000000.0,2537952.0,2014
Kawhi Leonard,1991760.0,2527495.0,2014
Kelly Olynyk,1986360.0,2520643.0,2014
John Henson,1905360.0,2417856.0,2014
Darren Collison,1900000.0,2411054.0,2014
Nikola Vucevic,1892280.0,2401258.0,2014
Shabazz Muhammad,1887120.0,2394710.0,2014
Moe Harkless,1809840.0,2296643.0,2014
Iman Shumpert,1797600.0,2281111.0,2014
Giannis Antetokounmpo,1792560.0,2274715.0,2014
Royce White,1777148.0,2255158.0,2014
Anthony Randolph,1750000.0,2220708.0,2014
Gigi Datome,1750000.0,2220708.0,2014
Jeff Ayres,1750000.0,2220708.0,2014
Chris Singleton,1707720.0,2167055.0,2014
Reggie Evans,1695636.0,2151721.0,2014
Jeremy Evans,1660000.0,2106500.0,2014
Tyler Zeller,1633440.0,2072796.0,2014
Tobias Harris,1630800.0,2069446.0,2014
Dennis Schroeder,1617840.0,2053000.0,2014
Toney Douglas,1600000.0,2030361.0,2014
Ronny Turiaf,1600000.0,2030361.0,2014
John Lucas,1600000.0,2030361.0,2014
Pablo Prigioni,1591350.0,2019385.0,2014
Terrence Jones,1551840.0,1969247.0,2014
Jodie Meeks,1550000.0,1966912.0,2014
Shane Larkin,1536960.0,1950365.0,2014
Gustavo Ayon,1500000.0,1903464.0,2014
Chris Duhon,1500000.0,1903464.0,2014
James Jones,1500000.0,1903464.0,2014
Vyacheslav Kravtsov,1500000.0,1903464.0,2014
Andrew Nicholson,1482000.0,1880622.0,2014
Sergey Karasev,1467840.0,1862653.0,2014
Nando De Colo,1463000.0,1856512.0,2014
Kenneth Faried,1442880.0,1830980.0,2014
Evan Fournier,1422720.0,1805397.0,2014
Donatas Motiejunas,1422720.0,1805397.0,2014
Tony Snell,1409040.0,1788038.0,2014
Antawn Jamison,1399507.0,1775940.0,2014
Jannero Pargo,1399507.0,1775940.0,2014
Nazr Mohammed,1399507.0,1775940.0,2014
Rasual Butler,1399507.0,1775940.0,2014
Willie Green,1399507.0,1775940.0,2014
Rashard Lewis,1399507.0,1775940.0,2014
Kenyon Martin,1399507.0,1775940.0,2014
Derek Fisher,1399507.0,1775940.0,2014
Earl Watson,1399507.0,1775940.0,2014
Jared Sullinger,1365720.0,1733066.0,2014
Gorgui Dieng,1352640.0,1716467.0,2014
Scotty Hopson,1350000.0,1713117.0,2014
Reggie Jackson,1329720.0,1687382.0,2014
Fab Melo,1311240.0,1663932.0,2014
Victor Claver,1311240.0,1663932.0,2014
Jared Cunningham,1301208.0,1651201.0,2014
Mason Plumlee,1298640.0,1647943.0,2014
MarShon Brooks,1276560.0,1619924.0,2014
Devin Harris,1272279.0,1614491.0,2014
Beno Udrih,1272279.0,1614490.0,2014
Roger Mason,1272279.0,1614491.0,2014
Shaun Livingston,1265977.0,1606494.0,2014
Francisco Garcia,1265977.0,1606494.0,2014
Ronnie Price,1265977.0,1606494.0,2014
John Jenkins,1258800.0,1597387.0,2014
Ronnie Brewer,1256250.0,1594151.0,2014
Solomon Hill,1246680.0,1582007.0,2014
Jordan Hamilton,1234320.0,1566322.0,2014
Pero Antic,1200000.0,1522771.0,2014
Hasheem Thabeet,1200000.0,1522771.0,2014
Tim Hardaway Jr,1196760.0,1518659.0,2014
Norris Cole,1191240.0,1511655.0,2014
Ryan Hollins,1186459.0,1505588.0,2014
Cory Joseph,1182600.0,1500691.0,2014
Jimmy Butler,1174080.0,1489879.0,2014
Tony Wroten,1160040.0,1472063.0,2014
Reggie Bullock,1149000.0,1458053.0,2014
